year,country,gdp_tier,industry,company_size,num_employees,rd_spend_pct_gdp,internet_penetration_pct,digital_maturity_index,ai_adoption_rate,adoption_level
2018,Australia,3,Legal,Medium,107,2.71,91.3,80.2,15.63,Low
2021,Canada,3,Agriculture,Medium,891,2.41,99.0,91.6,24.26,Low
2022,Morocco,1,Media & Entertainment,Small,22,1.52,66.4,43.8,20.86,Low
2025,Mexico,2,Financial Services,Small,77,1.5,71.2,84.0,66.95,High
2025,United Kingdom,3,Technology,Medium,966,2.47,88.6,96.6,89.66,High
2020,Netherlands,3,Manufacturing,Medium,176,2.5,99.0,94.4,55.33,High
2018,Australia,3,Technology,Small,41,2.33,88.4,100.0,22.01,Low
2022,South Korea,3,Education,Small,66,2.31,99.0,91.7,30.31,Medium
2018,Brazil,2,Manufacturing,Small,82,1.9,73.9,88.2,2.0,Low
2022,Morocco,1,Retail,Small,86,1.6,62.2,58.9,23.51,Low
2018,Israel,3,Financial Services,Medium,500,2.95,99.0,94.7,54.45,Medium
2022,Israel,3,Media & Entertainment,Medium,245,2.52,89.2,82.3,71.2,High
2022,Morocco,1,Government,Large,4078,1.49,50.9,43.7,38.27,Medium
2019,Netherlands,3,Agriculture,Medium,705,2.28,99.0,80.5,16.28,Low
2023,Brazil,2,Education,Small,16,1.72,85.4,70.4,40.04,Medium
2023,Sweden,3,Media & Entertainment,Large,45452,2.81,99.0,79.7,90.79,High
2023,Singapore,3,Retail,Medium,651,2.26,99.0,95.7,65.71,High
2019,France,3,Agriculture,Large,21614,2.38,99.0,76.0,29.9,Low
2018,Canada,3,Healthcare,Large,26254,2.62,99.0,94.1,59.75,High
2019,China,2,Legal,Small,10,1.2,94.9,81.0,18.82,Low
2018,South Africa,1,Financial Services,Large,26804,0.98,51.5,59.6,25.03,Low
2023,India,1,Financial Services,Medium,808,1.08,48.9,63.7,64.64,High
2018,Egypt,1,Government,Large,45724,1.38,59.5,22.7,15.54,Low
2019,Germany,3,Agriculture,Large,1244,2.65,99.0,62.3,24.42,Low
2021,Mexico,2,Automotive,Medium,361,1.68,69.7,54.3,30.29,Medium
2018,Nigeria,1,Technology,Large,33746,0.67,58.6,48.4,18.03,Low
2020,Australia,3,Agriculture,Large,2202,3.0,99.0,85.1,29.18,Low
2020,Mexico,2,Media & Entertainment,Small,12,2.18,76.3,65.2,24.85,Low
2022,Morocco,1,Manufacturing,Small,14,1.46,72.6,38.3,34.34,Medium
2025,Sweden,3,Education,Medium,546,2.75,99.0,79.0,80.22,High
2019,Mexico,2,Agriculture,Medium,921,1.87,56.0,57.2,6.82,Low
2022,Japan,3,Manufacturing,Small,98,3.0,97.6,79.9,39.19,Medium
2021,Israel,3,Government,Large,39278,2.99,92.2,72.2,53.96,Medium
2022,Japan,3,Automotive,Small,81,2.79,99.0,86.0,37.62,Medium
2021,Mexico,2,Manufacturing,Large,18243,1.75,80.7,62.2,51.0,Medium
2020,Morocco,1,Gaming,Medium,796,1.04,73.4,36.9,27.86,Low
2022,United States,3,Retail,Small,32,2.65,99.0,75.3,33.99,Medium
2019,France,3,Government,Small,5,2.79,84.7,75.1,6.84,Low
2019,India,1,Media & Entertainment,Small,85,1.15,62.4,48.5,24.97,Low
2020,China,2,Gaming,Small,66,2.02,72.2,69.9,42.55,Medium
2023,Canada,3,Automotive,Medium,315,3.24,99.0,87.2,73.84,High
2024,Australia,3,Automotive,Small,83,2.5,99.0,84.1,63.95,High
2018,South Korea,3,Technology,Medium,329,3.01,99.0,93.1,52.25,Medium
2024,Japan,3,Financial Services,Medium,416,2.14,99.0,89.6,79.56,High
2018,Nigeria,1,Education,Medium,981,0.74,51.4,55.2,2.0,Low
2020,Netherlands,3,Government,Medium,811,2.67,99.0,65.0,41.38,Medium
2025,Morocco,1,Education,Small,26,1.0,54.2,52.0,44.45,Medium
2022,Netherlands,3,Healthcare,Medium,447,3.12,91.9,100.0,75.66,High
2018,United States,3,Technology,Medium,420,2.74,99.0,100.0,59.58,High
2021,Singapore,3,Technology,Large,31011,2.22,97.7,88.2,97.0,High
2025,Israel,3,Media & Entertainment,Large,3808,3.06,94.8,96.3,97.0,High
2024,Israel,3,Technology,Medium,306,3.06,99.0,100.0,97.0,High
2021,Brazil,2,Government,Medium,753,1.84,79.1,66.9,26.47,Low
2018,South Korea,3,Agriculture,Large,8711,2.39,93.8,89.9,20.91,Low
2020,Germany,3,Retail,Medium,463,2.58,99.0,100.0,37.86,Medium
2022,South Korea,3,Government,Small,21,2.72,99.0,75.6,22.23,Low
2022,United Kingdom,3,Media & Entertainment,Medium,114,1.9,99.0,100.0,58.42,High
2020,South Korea,3,Automotive,Large,24563,2.69,95.2,71.5,76.52,High
2024,Singapore,3,Financial Services,Large,26099,3.16,99.0,99.0,97.0,High
2020,Japan,3,Manufacturing,Small,67,3.06,99.0,96.9,25.68,Low
2018,Israel,3,Education,Small,6,2.35,94.5,92.7,15.24,Low
2019,Germany,3,Automotive,Small,87,3.07,99.0,80.6,26.93,Low
2025,Egypt,1,Technology,Small,90,1.21,50.9,50.4,62.65,High
2025,France,3,Government,Small,31,3.0,99.0,79.8,57.95,High
2025,Brazil,2,Financial Services,Large,27728,1.15,88.0,77.1,94.19,High
2023,Canada,3,Gaming,Medium,158,2.46,96.8,93.2,76.94,High
2021,Canada,3,Agriculture,Small,97,2.86,99.0,85.0,23.22,Low
2024,Nigeria,1,Media & Entertainment,Small,29,1.24,59.3,52.8,43.12,Medium
2024,United Kingdom,3,Manufacturing,Medium,413,2.63,99.0,100.0,88.42,High
2020,Morocco,1,Education,Large,48773,0.95,69.5,45.1,17.63,Low
2024,Germany,3,Government,Medium,314,2.7,99.0,78.3,60.51,High
2025,France,3,Government,Medium,732,2.47,99.0,99.8,72.29,High
2025,India,1,Retail,Medium,743,1.29,66.5,62.3,80.98,High
2018,United States,3,Manufacturing,Small,51,2.5,93.4,84.5,26.08,Low
2025,Israel,3,Financial Services,Small,7,2.52,72.2,90.3,88.85,High
2022,France,3,Technology,Medium,429,2.61,93.2,100.0,68.75,High
2020,South Africa,1,Media & Entertainment,Large,6430,1.5,53.7,56.8,41.71,Medium
2025,Israel,3,Legal,Large,34328,3.02,84.0,99.2,97.0,High
2025,France,3,Gaming,Small,69,2.84,99.0,100.0,71.02,High
2021,Morocco,1,Automotive,Large,28113,1.14,66.8,40.7,40.81,Medium
2023,Israel,3,Legal,Small,46,2.2,95.2,90.2,51.32,Medium
2021,Morocco,1,Gaming,Small,71,1.72,67.3,38.8,17.13,Low
2020,India,1,Automotive,Large,18900,1.54,51.2,64.5,49.5,Medium
2021,United States,3,Education,Small,54,2.13,91.1,87.4,35.97,Medium
2025,United Kingdom,3,Education,Large,16700,2.21,99.0,84.2,95.96,High
2024,France,3,Government,Large,42641,2.46,99.0,96.2,68.41,High
2021,United States,3,Automotive,Large,33940,3.35,81.8,82.3,87.48,High
2022,Brazil,2,Automotive,Large,24013,1.98,83.3,61.7,48.82,Medium
2019,Egypt,1,Government,Large,44653,0.51,61.6,52.1,20.13,Low
2019,Brazil,2,Financial Services,Medium,715,1.75,83.0,84.0,24.48,Low
2024,South Korea,3,Education,Large,25829,2.56,99.0,85.0,88.05,High
2023,Brazil,2,Agriculture,Large,19114,1.54,89.1,65.3,45.56,Medium
2024,Australia,3,Retail,Large,9187,2.5,89.8,94.0,85.18,High
2022,South Africa,1,Financial Services,Small,94,0.99,49.0,36.4,27.0,Low
2020,Germany,3,Education,Medium,583,3.02,99.0,90.8,48.05,Medium
2025,Israel,3,Automotive,Small,32,2.08,97.1,80.3,88.33,High
2024,United Kingdom,3,Legal,Small,24,2.85,99.0,91.5,52.89,Medium
2025,United Kingdom,3,Education,Medium,670,3.17,96.7,89.2,73.86,High
2019,Canada,3,Healthcare,Small,49,2.85,99.0,70.9,30.11,Medium
2024,Singapore,3,Automotive,Small,71,2.54,98.1,83.9,71.43,High
2018,France,3,Manufacturing,Large,24304,2.56,90.3,75.9,50.11,Medium
2023,Israel,3,Education,Medium,171,2.08,99.0,87.3,72.0,High
2019,Netherlands,3,Retail,Medium,148,2.62,99.0,79.7,45.52,Medium
2018,Germany,3,Financial Services,Small,73,2.91,99.0,93.8,23.35,Low
2021,South Africa,1,Technology,Medium,865,1.23,62.4,58.6,42.84,Medium
2020,Netherlands,3,Legal,Small,64,3.41,99.0,77.0,26.21,Low
2024,Canada,3,Healthcare,Large,30619,2.06,82.6,99.5,97.0,High
2020,United Kingdom,3,Gaming,Medium,753,2.79,94.6,100.0,66.07,High
2020,Brazil,2,Financial Services,Large,17690,1.68,71.4,68.8,52.63,Medium
2019,United States,3,Gaming,Medium,407,2.32,99.0,98.3,59.61,High
2022,India,1,Legal,Small,80,1.34,72.8,49.0,29.62,Low
2022,Mexico,2,Financial Services,Medium,432,1.92,75.7,66.8,43.24,Medium
2025,Nigeria,1,Government,Small,56,1.01,56.0,58.5,45.64,Medium
2024,South Africa,1,Technology,Large,46517,1.46,51.0,39.8,79.49,High
2018,Morocco,1,Gaming,Medium,827,0.95,70.1,41.3,16.95,Low
2025,France,3,Gaming,Large,30652,2.91,96.7,79.3,97.0,High
2025,Israel,3,Technology,Large,39559,2.53,99.0,100.0,97.0,High
2023,Brazil,2,Manufacturing,Large,11616,2.26,80.0,58.6,70.84,High
2021,Egypt,1,Technology,Large,6566,0.83,54.3,47.1,50.03,Medium
2024,Singapore,3,Education,Small,53,3.15,99.0,64.4,61.49,High
2020,South Africa,1,Financial Services,Large,32088,0.98,58.5,40.8,50.36,Medium
2023,Nigeria,1,Legal,Large,3964,1.14,54.8,39.6,38.17,Medium
2025,Egypt,1,Education,Medium,744,1.17,53.6,31.7,62.17,High
2018,Australia,3,Financial Services,Large,20530,2.03,96.8,100.0,40.75,Medium
2018,Morocco,1,Gaming,Large,1131,1.57,63.8,48.0,16.38,Low
2024,Germany,3,Agriculture,Large,8386,2.44,99.0,86.1,57.58,High
2020,United States,3,Technology,Medium,827,2.98,99.0,74.2,69.53,High
2021,Sweden,3,Retail,Large,39753,2.63,94.7,90.0,72.17,High
2018,Nigeria,1,Government,Large,46015,1.28,63.1,57.6,2.0,Low
2021,Canada,3,Financial Services,Medium,104,2.4,99.0,95.1,51.77,Medium
2020,Canada,3,Agriculture,Small,20,2.59,95.1,80.6,6.04,Low
2020,Nigeria,1,Technology,Large,10617,1.25,61.1,57.9,38.64,Medium
2023,Germany,3,Retail,Small,41,2.35,94.4,91.5,47.74,Medium
2020,China,2,Automotive,Large,39831,2.09,81.8,70.7,62.91,High
2021,Sweden,3,Government,Medium,275,2.9,99.0,94.2,33.81,Medium
2018,Nigeria,1,Government,Small,78,0.95,62.4,36.4,2.0,Low
2022,Germany,3,Agriculture,Large,46357,2.64,99.0,68.4,38.36,Medium
2018,United States,3,Gaming,Large,5994,2.74,90.6,95.5,78.0,High
2018,Mexico,2,Financial Services,Medium,832,1.63,86.8,79.8,16.19,Low
2024,Japan,3,Manufacturing,Small,90,2.19,97.6,91.9,61.22,High
2020,Australia,3,Automotive,Large,42758,2.59,96.7,100.0,60.09,High
2022,Germany,3,Manufacturing,Medium,811,2.32,99.0,90.5,57.63,High
2018,South Korea,3,Media & Entertainment,Large,23831,2.13,99.0,96.9,55.36,High
2018,Morocco,1,Retail,Medium,731,1.24,63.4,32.1,6.07,Low
2023,Sweden,3,Retail,Medium,703,2.73,95.3,89.9,74.07,High
2025,Israel,3,Technology,Medium,195,2.31,99.0,94.1,97.0,High
2024,France,3,Healthcare,Medium,635,2.96,90.2,99.7,71.68,High
2022,Nigeria,1,Education,Large,43471,1.15,60.8,53.2,33.63,Medium
2020,Morocco,1,Education,Small,77,1.06,57.4,39.3,7.69,Low
2022,France,3,Healthcare,Small,34,2.44,99.0,72.0,48.75,Medium
2022,United States,3,Education,Small,95,2.03,96.4,77.4,37.53,Medium
2021,Egypt,1,Retail,Large,11587,1.38,64.3,43.2,41.3,Medium
2019,Netherlands,3,Agriculture,Small,70,2.5,90.4,80.3,5.0,Low
2021,Brazil,2,Automotive,Medium,616,1.41,71.6,86.7,31.84,Medium
2025,Egypt,1,Automotive,Large,41698,0.82,59.2,52.1,77.46,High
2023,United States,3,Technology,Medium,551,2.75,98.1,96.7,81.91,High
2019,Israel,3,Manufacturing,Large,43348,2.19,87.3,91.5,71.44,High
2023,India,1,Automotive,Medium,610,1.05,57.3,61.2,63.47,High
2023,Brazil,2,Gaming,Small,7,2.08,79.7,95.0,48.27,Medium
2022,South Africa,1,Technology,Medium,138,1.34,52.6,42.6,45.74,Medium
2019,United Kingdom,3,Automotive,Large,23331,2.89,99.0,100.0,64.27,High
2018,Netherlands,3,Government,Large,9848,2.73,96.1,89.7,33.63,Medium
2021,India,1,Manufacturing,Medium,204,1.24,74.7,50.8,38.15,Medium
2018,South Africa,1,Manufacturing,Small,74,1.2,61.5,49.3,2.0,Low
2024,South Korea,3,Automotive,Large,34538,2.49,99.0,88.6,97.0,High
2024,Morocco,1,Technology,Medium,310,0.98,66.6,51.6,63.61,High
2023,Sweden,3,Manufacturing,Small,36,2.15,99.0,80.5,51.24,Medium
2018,Brazil,2,Legal,Small,98,1.8,87.5,66.6,4.13,Low
2024,United States,3,Financial Services,Small,96,2.33,99.0,97.9,70.83,High
2023,Mexico,2,Gaming,Large,9642,1.89,73.9,77.2,62.66,High
2019,South Korea,3,Gaming,Small,54,2.55,99.0,84.0,31.63,Medium
2019,South Africa,1,Manufacturing,Small,47,1.47,56.9,38.6,9.77,Low
2020,Japan,3,Retail,Large,14271,2.79,99.0,87.4,58.84,High
2024,South Korea,3,Retail,Large,42809,2.91,91.5,93.5,91.18,High
2023,Morocco,1,Automotive,Small,5,1.13,60.2,46.8,31.28,Medium
2018,Israel,3,Technology,Medium,555,2.29,99.0,98.5,52.16,Medium
2019,France,3,Education,Large,41297,2.73,99.0,97.9,37.26,Medium
2025,Mexico,2,Education,Large,16804,2.2,86.8,47.4,73.52,High
2019,Nigeria,1,Retail,Small,43,1.52,52.6,45.9,4.62,Low
2021,Australia,3,Healthcare,Small,41,2.79,99.0,88.7,43.93,Medium
2022,South Korea,3,Healthcare,Small,25,2.6,95.4,93.3,43.88,Medium
2024,Israel,3,Legal,Medium,927,2.39,95.3,85.0,68.9,High
2020,China,2,Retail,Small,72,2.06,73.7,77.1,27.11,Low
2018,Netherlands,3,Gaming,Small,64,3.39,93.6,100.0,32.76,Medium
2025,South Africa,1,Automotive,Large,10041,0.91,61.4,51.2,72.51,High
2023,Netherlands,3,Healthcare,Medium,683,2.4,98.3,74.8,83.19,High
2019,Israel,3,Healthcare,Medium,500,2.59,99.0,84.9,49.8,Medium
2021,South Korea,3,Retail,Small,74,2.34,93.3,93.2,30.99,Medium
2021,Japan,3,Government,Large,3539,1.88,93.8,80.4,50.55,Medium
2022,United Kingdom,3,Gaming,Medium,312,2.83,99.0,92.4,72.58,High
2019,South Korea,3,Retail,Medium,521,2.38,97.9,84.9,33.65,Medium
2018,United States,3,Legal,Large,11750,2.69,99.0,89.9,44.68,Medium
2021,South Africa,1,Automotive,Medium,434,1.11,67.0,30.7,39.75,Medium
2024,Sweden,3,Financial Services,Small,85,2.44,87.4,89.9,70.66,High
2018,Australia,3,Legal,Large,8636,2.37,91.6,88.0,27.36,Low
2025,Sweden,3,Government,Medium,839,2.99,99.0,95.0,60.06,High
2023,Mexico,2,Healthcare,Small,43,1.7,89.1,77.6,37.06,Medium
2024,Mexico,2,Manufacturing,Small,16,1.99,87.9,73.5,48.01,Medium
2023,South Africa,1,Retail,Large,23178,1.07,41.0,45.2,49.37,Medium
2024,Japan,3,Healthcare,Large,47435,2.8,99.0,77.8,97.0,High
2020,South Africa,1,Technology,Small,70,1.24,51.1,50.6,16.67,Low
2021,Nigeria,1,Legal,Small,54,1.58,69.7,40.5,9.71,Low
2025,India,1,Legal,Medium,696,1.46,62.8,43.0,62.02,High
2020,Japan,3,Manufacturing,Medium,197,2.39,99.0,99.3,41.15,Medium
2025,Brazil,2,Education,Medium,296,1.89,69.9,67.8,55.75,High
2018,Brazil,2,Government,Large,32592,1.43,82.9,57.9,5.15,Low
2019,United States,3,Retail,Medium,182,2.56,99.0,78.8,41.56,Medium
2022,Canada,3,Retail,Large,40606,3.0,99.0,100.0,74.96,High
2019,Canada,3,Technology,Large,19992,2.77,89.4,93.8,78.75,High
2022,Nigeria,1,Technology,Large,36657,1.08,73.7,66.4,41.54,Medium
2023,China,2,Media & Entertainment,Medium,107,1.13,62.9,81.8,73.18,High
2018,Japan,3,Automotive,Medium,662,2.88,99.0,85.8,32.8,Medium
2020,Singapore,3,Agriculture,Medium,128,2.11,91.1,84.0,18.76,Low
2024,United Kingdom,3,Legal,Medium,779,2.95,99.0,78.3,64.82,High
2021,Egypt,1,Education,Medium,435,1.24,52.7,51.2,17.37,Low
2021,Germany,3,Education,Small,64,2.41,95.0,78.0,15.49,Low
2025,Nigeria,1,Government,Medium,776,0.91,55.5,47.3,53.39,Medium
2025,Netherlands,3,Healthcare,Small,79,2.63,84.9,89.3,75.3,High
2023,Sweden,3,Technology,Medium,860,2.39,95.0,96.8,86.25,High
2022,United Kingdom,3,Education,Medium,722,2.79,88.4,81.5,50.85,Medium
2021,United States,3,Retail,Medium,211,2.84,99.0,91.3,57.06,High
2020,Australia,3,Gaming,Small,44,2.66,99.0,79.0,34.51,Medium
2018,South Korea,3,Legal,Large,21872,2.61,99.0,93.5,24.65,Low
2020,Japan,3,Media & Entertainment,Medium,256,2.16,96.6,86.6,51.33,Medium
2023,China,2,Technology,Medium,386,2.16,89.0,85.6,89.67,High
2022,South Korea,3,Gaming,Large,49022,2.64,99.0,83.6,96.21,High
2025,Canada,3,Automotive,Small,53,2.65,99.0,100.0,74.36,High
2022,Mexico,2,Legal,Large,33583,2.01,82.1,65.2,35.27,Medium
2024,Sweden,3,Financial Services,Medium,975,2.48,93.6,86.1,82.32,High
2020,Morocco,1,Financial Services,Large,29979,1.57,60.1,50.6,32.42,Medium
2024,China,2,Gaming,Small,28,1.55,78.8,73.0,73.77,High
2023,Sweden,3,Legal,Medium,810,2.94,99.0,75.2,56.37,High
2022,Canada,3,Government,Small,95,2.45,99.0,72.8,26.61,Low
2018,Australia,3,Education,Small,10,3.0,99.0,85.3,7.98,Low
2025,Germany,3,Education,Medium,722,2.51,95.1,76.6,69.81,High
2018,United Kingdom,3,Healthcare,Medium,272,2.69,99.0,100.0,48.42,Medium
2021,Egypt,1,Government,Large,26000,1.38,74.1,38.3,30.71,Medium
2022,Singapore,3,Media & Entertainment,Small,10,2.07,99.0,69.5,45.24,Medium
2019,Mexico,2,Financial Services,Medium,501,2.1,75.0,77.9,13.65,Low
2021,Nigeria,1,Gaming,Small,48,1.54,63.2,51.8,20.66,Low
2020,India,1,Legal,Large,21916,1.29,61.3,62.5,40.2,Medium
2019,United Kingdom,3,Government,Large,20689,2.6,88.2,78.8,45.55,Medium
2020,India,1,Financial Services,Large,29094,1.38,51.1,49.5,66.84,High
2025,United States,3,Financial Services,Small,68,2.61,99.0,83.5,71.16,High
2024,South Korea,3,Financial Services,Medium,970,2.73,98.4,74.8,79.19,High
2024,Morocco,1,Technology,Large,33503,1.43,63.5,75.9,69.01,High
2020,Singapore,3,Healthcare,Large,39079,2.61,99.0,86.7,80.8,High
2023,South Korea,3,Retail,Large,4577,2.64,99.0,88.0,93.04,High
2018,South Africa,1,Agriculture,Large,17825,1.2,48.3,32.8,2.0,Low
2018,Israel,3,Government,Small,34,2.57,99.0,82.6,10.6,Low
2020,Canada,3,Legal,Small,37,2.86,94.3,91.5,18.08,Low
2019,United Kingdom,3,Agriculture,Small,41,2.82,99.0,95.8,2.0,Low
2022,Germany,3,Healthcare,Medium,669,3.07,99.0,88.2,56.03,High
2019,Netherlands,3,Technology,Medium,178,2.31,99.0,100.0,58.54,High
2025,Japan,3,Automotive,Medium,293,3.31,99.0,86.4,92.1,High
2021,Sweden,3,Media & Entertainment,Medium,985,2.69,93.0,100.0,55.8,High
